"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "MS SQL", "Prisma", "JavaScript", "Docker", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\registration\registration.service.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 18, 113
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\session\dto\deleteSession.dto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\session\session.controller.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\session\session.facade.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\session\session.service.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 18, 115
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\types\auth.types.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\types\session.types.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\utils\checkPassword.util.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\utils\deviceParser.util.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\utils\getRandomCodes.util.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\utils\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\User\Desktop\NestAuth\microservices\auth-microservice\src\modules\auth\shared\utils\locationParser.util.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
